,rating,Reviews
59,1.0," Item arrived quickly but the service provider is very bad. Come to send, do not call in advance, arrive at the house and then call Said that he wasn't at home, but his daughter lived and didn't leave the money for the …"
60,1.0," Very bad service, ordering a lot of things, can't really find this company. Slow delivery Called to make an appointment but didn't come and let us wait. …"
61,5.0," Fast delivery, 3 days to arrive. very good transport At first, I thought I wouldn't be able to get items anymore because I saw all the negative reviews. …"
62,3.0,Edit: 23/07/2021  บริการดีขึ้นและส่งของตรงเวลาค่ะ …
63,2.0," Very slow delivery, called and said they would deliver. Ask where the address is. In the end, he didn't come, didn't call, and was also postponed in the system that the customer informed the postponement of the …"
64,1.0, Rama 4 branch. Very bad. Sent many times delayed. Follow until you don't know how to follow. Not responsible. …
65,1.0," Very slow delivery, said that I pressed the wrong button, but really refused to deliver that day. will be delivered the next day The next day still hasn't arrived "
66,2.0, Drive to the parking lot and shout out of the car that you've come to deliver me...... and let the recipient walk to pick up the goods and pay the car Is this a delivery service? …
67,3.0," Very slow, withdraw from the shop. Random delivery. Meet the nemesis ninja. Sending items to adults is much slower than other transports. 😒🙄😤👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎 …"
68,1.0, I was informed that the item had been received for 2 days. have not received Tell the wrong address even though the address is the same address Wasting time waiting …
69,1.0," Slow delivery, wait until you're discouraged  "
70,1.0, Is not sending the rate for 1-2 days and then came to say that he could not be contacted even though he was waiting to receive it and then suddenly returned to the store that did not inform us at all .. very bad …
71,1.0, The parcel arrived at the destination. The status of delivery. 7 days have passed and still haven't received the item. and then there is a …
72,1.0, Secondary items have been here for several days and have not arrived yet. There is a notification that the item will be delivered on the 12th. This is the 14th day and still haven't contacted me. The delivery is very …
73,1.0, Very bad. Pickled. Very good stuff. Don't call the child and say that he can't contact the child. Transport. Arrange delivery for customers from 12 to 14 and still haven't got it. …
74,1.0," Received this item from this transport twice. The delivery man spoke harshly both times. Call and ask for directions, not local people, don't know where this address is, there is no alley. Ask Tring why other …"
75,1.0," The delivery of this item occurred from the fact that I ordered the product through an online store, which the company shop was. Partner with Ninja Transportation. The delivery of the goods I ordered took a very long …"
76,1.0," The parcel called to say that it will be delivered by Thursday when the office is closed. We asked to postpone Friday and the status is up for sure that it's really Friday. But in the end, I waited all day, so I …"
77,1.0," Made a purchase from Shopee, got hit back for the 1st time saying that the recipient could not be contacted even though he had not received a call from the staff at all. And call the Call center the second time will …"
78,1.0," Sent the item successfully. But who is the recipient, I don't know. signed our name Ours is not important in it is baby milk powder. Let's eat rice first, baby. Because that's the money that I have saved to stock up …"
79,1.0," Check the parcel, the status says "
80,1.0, The parcel arrived at the destination. The status of delivery. 3 days have passed and still have not received the item. …
81,1.0, I can postpone the delivery. Boring. I haven't sent it yet. Is there any responsibility? …
82,1.0," Ordered the product on 27 May. July 64 in the system, it says received the parcel successfully. Waited from 28 until the 2nd day. Still haven't arrived. Bangkok-Prachuap, how long will it take? Other companies just …"
83,1.0, Worst As far as I can tell you straight It's very slow and it doesn't fit in the system at all. …
84,1.0," No staff contacted, no delivery. but into the system that ""Unable to contact recipient"" Terrible. Not delivered in time and then blame the customer …"
85,1.0, Not yet. but in shopee system Says sent but can't contact the recipient. But no one has contacted me yet. So confused and writes that it's shipping again. Around 4 p.m. Um. 4 p.m. K sucks. …
86,1.0," On May 28, 1964 There was an office worker bringing the parcel to the house. The office worker will take a picture of us claiming to be delivered to the company. will know who is the recipient We refuse to take …"
87,1.0," Really sent quickly, but sent to anyone who doesn't know. Plus sign our name as well …"
88,1.0, Slow  
89,1.0, Shouldn't even get a star Can deliver one piece Very bad experience The address of the responsible person. Turns out to be sending items to the sender. Crazy. Tell us to pick up and send again. .... Complain to the …
90,1.0, Very bad  
91,1.0," Did not update the product at all. Where is it. Delivered very late, 2 days has not arrived. …"
92,1.0," Worst of all, I am waiting to pick you up throughout the delivery from the origin of the delivery to your transport company. Tell the item to be delivered within 20 May - 22 May until today. 21. Items should arrive in …"
93,1.0, Very slow transport  
94,1.0," Very slow, delivered at 20.00 at the company, who will be there, pick up the goods, and there is no call in advance. Crazy, finally delivered again instead of sending faster than before. Returning to the same time. …"
95,1.0, The shop has sent the goods from the 11th until the 14th and has not received the item yet. …
96,1.0," At first, it was good..but the latest item was not received .. has not been received. …"
97,1.0," Ten days, I tell you, so desperate. I recommend it. I use other brands to finish it. …"
98,1.0," Very slow, the delivery shop gave the 6th day. Now, on the 10th day, we still haven't got anything yet. Not far In the metropolitan too …"
99,1.0, Very slow  
100,1.0, I have been waiting for three days. Said that the rain can't come to deliver. It's an excuse. You can't just do this. You can't go to sleep at home. …
101,1.0, The shop's reputation is valuable ... Do not come with this transport. Eliminated every time It's a shepherd boy every now and then. …
102,1.0, Denied much responsibility Claimed that in Bangkok sent one day I have been waiting for a week. …
103,1.0," I don't want to give a star at all. Delivery is very late, wait 7 days. Think about it. The next round would not use the service and …"
104,1.0," The system is increasingly bad in the system that cannot be contacted by numbers. We called to change the number. For fear of bouncing Then sat and waited for a week In the end, I can't tell if I can't contact the …"
105,1.0, The delivery is very slow. Say it will be sent within 3-4 business days. Never called But it shows up as if Unable to contact the recipient .. Home of you .. 29/4/64 
106,1.0," The delivery was very slow, many shots did not come.  "
107,1.0," Honestly, I don't want to give a star Very bad delivery man Ninja Van Thung Khru Before shipping, you have to call the customer first, right? This one is calling, but it is close to calling. We went out to eat. So we …"
108,1.0," I am confused. Ordering things, the phone number is attached to the front of the box. But the status says The sender has arrived at the residence but cannot contact the receiver. Calling and not calling the shop all …"
109,1.0," Said that the product will be delivered within today But did not deliver, but said that he could not contact the recipient Even though I didn't call once We'll just wait. Going to check again, the delivery can't …"
110,1.0," Very bad I don't have one. If you know that you are not ready, you can not tell what is not true. Since ordering things, I have never met Which shipping company was so bad …"
111,1.0," Terrible and awful. Said that 4 intersections and then turn right, but went to 3 intersections and then turn right Is it really inseparable? 3 separate and 4 separate? Tell me the way to the house 3 times, I think I …"
112,1.0," Transport, do not call Suddenly, the delivery was successful, the item was not interrupted, hurry to deal with …"
113,1.0," Delivered very late, all others have delivered. Ninja Van is still at the warehouse. …"
114,1.0," This transport, the worst service, the worst, the slowest. Should have received items from April 2, until now, April 6, still did not receive the goods, calling the whole big center, both the courier and speaking, but …"
115,1.0," Ordered items in shopee and it has a single delivery, delivery cost 29 baht, I think J&T because this transport is very good in our neighborhood, service is good enough, only the seller is the ninja van. Haven't …"
116,1.0, Really bad !! Liar !!  
117,1.0," Do not use this service. Can't contact anything, call center, can't give person number Goods arrived and told them to pay. But can't contact us …"
118,1.0," Service is very bad, delivery of goods is slow, is preserved at the warehouse. In the system can not contact the recipient. No one has contacted yet. Then took the goods back to the new warehouse …"
119,1.0," Ordered items from Shopee yesterday, the status is delivered, but there is no staff to contact, when checking in the evening, the status says, unable to contact us even though we haven't contacted yet, we waited all …"
120,1.0," Order set for several days. When the delivery deadline was reached, we waited, but there was no communication from the courier. When came to check the parcel number, said The product was not delivered successfully. …"
121,1.0," Very slow Not recommended, can be avoided, should be avoided Order from China first. Bangkok to Rajyuri takes 5 days. Customers curse in the morning, lunch and evening. …"
122,1.0," Waiting for delivery all day, order in shopee Status shows that the goods will be received today, waiting all day, there is no indication that the phone will come, take it with you all the time, even going to the …"
123,1.0," Lek Huay, Ratchaburi, 70000 No, the car ran a big box, gave the car a delivery machine, how could he carry it? Ninja Van …"
124,1.0," The delivery of this company is very slow, horrible.  "
125,1.0," It is extremely slow transportation. If there is a channel that does not give any points at all, then this company Very drool, tell me If there are many companies to choose from I would not recommend anyone to use the …"
126,1.0," It is a terrible transport. Since every order To inform the shop, unable to contact even without calling Unable to deliver goods, tell no one to live Even though there are always people at home This is the service The …"
127,1.0," Ordered with se-ed, pay, express delivery, but the package has not yet arrived very late. …"
128,1.0," Poor service, order of the shop, delivered on Thursday, received again on Tuesday, the house is in Samut Sakhon. Shop in Samut Prakan, near DC, it sent to Mars and returned to Earth. …"
129,1.0, Very slow for many days  
130,5.0," Followed by the email report after the submission. - Very good email report with name, date / time, picture, signature of the person who signed for the parcel, complete and complete amount. …"
131,1.0," Until now, have not received the product _ call to postpone again _ and tell customers to postpone _ very bad _ Bang Pa-in Ayutthaya _ ordered from shopee next, which shop used to transport Ninja Van _ will not order …"
132,1.0," 10 days sent Customer has not received the item The call to the call center cannot provide any information. Until the customer cancels the Ogre, who is responsible for how to send it in 10 days still has not been …"
133,1.0," Waited from the date 6/2/64 until now, not yet. At first it arrived and I couldn't find the item so I said that I would send it again. Until now, not at all, confused. …"
134,5.0," Convenient transportation, fast, use a ninja  "
135,1.0," Today there is an employee from the transportation way to call us. At first I told you that the customer bought this .... This order number .... We are in .. ..... Later, I said that the customer bought it with this …"
136,1.0, The delivery is very slow.  
137,5.0, Call to inform in advance that the goods will be delivered. The delivery staff spoke politely. …
138,4.0, The staff are polite and humble.  
139,1.0," Ordered from shopee, delivered by ninja van delivery, very bad service. Talks should not be available, call at 7.58 am, tell me the goods will be delivered at this time, not yet. When I called to ask, he said that he …"
140,1.0," The transportation is very bad. On 25/12/63, the staff called in at 8:00 p.m. said that the product was not delivered on time. Request to cancel delivery today. Will come and send it again on 26/12/63, waiting all …"
141,4.0, Good service staff Haven't met an employee who has bad manners yet. But may be delivered later than the others …
142,1.0," It is a bad transport, slow delivery, employees call and postpone again. …"
143,1.0," Terrible service, let's change the delivery time from yesterday to today and from today to tomorrow. Bad, bad, bad, no responsibility at all. Not deserving of a star …"
144,1.0, Delivery does not call to notify The system is currently delivering 08; 00 until the end of the day. …
145,1.0," The system is terrible. Products sent 4 days a day. Still not something else. Ordered later, kerry flash delivered, but this still hasn't arrived. Who will use the service, thinking good is very bad. …"
146,3.0," Using the service for the first time, very ok. The second time is quite bad. Because you call us at 21.30 Which at that time we were going to work so there was no time to receive Which our house is in other provinces, …"
147,2.0," Very slow. Other transportation, where are they going? This transport is still a turtle crawling. Should improve the speed of delivery to be better …"
148,1.0, I met myself twice 
149,1.0," Contacted, will send items, use words like talking to a friend, not enough, and also tell them to walk outside to pick up the item. How do you think? Order dome lid 15 pack paper glasses 15 rows * 50 pieces per …"
150,1.0," The transport is very slow, ordered three days. Haven't received the item yet …"
151,1.0," Delivered very slow. Enough to send, did not call to tell first. …"
152,1.0," Very good, not delivering items as scheduled, filling out, canceling delivery. And people who order the product just wait. Ask to go to every channel, no answer whatsoever It is the cheapest transport that I have ever …"
153,1.0," The transportation system is very low. Never used to transport anything, and I received this very slow. Delivery from Nakhon Pathom to Samut Prakan took 8 hours, until now I have not received the parcel. The transport …"
154,1.0," Transported more like a turtle The parcel status from last night until now, the status is still in the same place. …"
155,1.0, Ninja van can wait. It's the worst in loca. Things that are not yet claimed. This is bad. …
156,1.0," Terrible, awful, ordered from the 20th Until 27 haven't. When ordering in shopee Specify received no more than 24 Here I come for 3 days. …"
157,1.0," Order on 11/10 Delivery store 12/10 Date 14/10 18:03 Call to inform today, missed delivery Send to tomorrow, but the …"
158,1.0," Very bad, very late delivery Added to the false state that Unable to contact recipient Despite not being contacted Goods were sent from 9 o'clock until 2 o'clock. No customer contact Waiting for another day Out at 9 …"
159,2.0," Poor segregation management The goods are transported for 4 days, not yet. The provinces are adjacent too. Calling to ask, it appears that the postal number is wrong. …"
160,1.0," Ordered from shopee, delivered by ninja van delivery, someone signed for it instead. We do not have items. The house is all day. Send it to anyone, anywhere, call …"
161,1.0," Poor service, staff, poor delivery, lack of training  "
162,1.0,"Never ever try to use, tracking is faked, customer complained never taken to account."
163,1.0," The delivery is very slow, I said I will deliver today, but it is quiet. Claiming but a lot of stuff One time, I didn't choose Ninja. …"
164,1.0, Very slow.  
165,1.0," Order from shoot, fast delivery shop, but stuck in the transport of Ninja Van Thung Khru, but came up with a status that contacted the customer is not a residence.What is it? Is it up to the office? Why can't I …"
166,1.0, It is very bad. It is the first company to deliver the goods and then walk to get the goods and take the money out to pay. …
167,1.0," Service to postpone, send, reserve and deliver again Claiming a lot of stuff …"
168,5.0," Very good, Maha Sarakham Province, always use Ninja Van service. Polite staff always call in advance. Very impressed. Very good. …"
169,1.0, The delivery staff spoke like a ghost.  
170,1.0," Terrible, very slow transportation, the delivery date is delayed for 2 days, and still not enough to call to inform the delivery date itself. But in the system back that we are notifying the change of the date itself …"
171,5.0, Good  
172,1.0," Call center, terrible service, no manners.  "
173,1.0,Somehow refused to deliver my package after 10 days of waiting and constant calls to the customer service.
174,3.0, Fast delivery  
175,5.0, Send fast now. One day to go Employees will leave the parcel at the juristic person. …
176,5.0," The delivery staff calls for appointments to send first in advance, good service, good polite speech. …"
177,3.0," The parcel box is very demolished. But fortunately, the contents are fine. The delivery speed is considered fast. …"
178,5.0," Well, I didn't get it myself, but Nauti accepted it without being dropped or damaged. …"
179,5.0, The staff spoke well and polite.  
180,5.0,Fast delivery. Driver is very friendly and polite.
181,5.0," The service staff are very good, very polite, trust Ninja Company. To deliver parcels many times and countless times …"
182,3.0," There is a delay in delivery per house. Some items are delivered within 1 day. When asked to arrive in that area, the employee did not sell immediately. …"
183,5.0," Very good service staff The parcel is delivered quickly, known to be delivered very well. Without giving directions at all …"
184,5.0," Brother who delivered the goods Riding on a motorcycle to speak well, smiling face …"
185,5.0," Good service, call to inform before the parcel arrives.  "
186,5.0," Good service, fast delivery as scheduled  "
187,4.0, Fast delivery Call to inquire before sending. Good.  
188,5.0, The sender called before sending the parcel. Good talk. Leave the security guard. …
189,5.0, Send good service staff.  
190,5.0, Fast delivery  
191,5.0, Get things fast The staff delivered early in the morning. It's quick to eat. …
192,5.0, OK  
193,1.0," For people who want to experience the new dimension of shipping How is it sent locally? As if Phil has received products from abroad Through the consular ceremony By storing them at the warehouse one area at a time, …"
194,5.0, Very fast  
195,1.0," The first employee called to ask for directions, but did not come and sent it, and still recorded in Shopee that the recipient could not be contacted even though we had given directions. And waited all day Must …"
196,4.0, Quick  
197,5.0, Received the item and sent it well.  
198,5.0, The product is neat and the cover arrives quickly.  
199,5.0," Send work quickly, polite, like straight, use local people who know the area very well. …"
200,5.0," Delivered quickly, safe parcel. Have a call first Making it possible to plan to receive packages …"
201,1.0," Shipping delay Check the web page, see Tung's admission, but on the 7th but deliver the goods on the 11th despite the store ordered only 7 kilometers away from the customer's home .. …"
202,5.0, Employees have called in advance to deliver the goods. Very polite speaking …
203,5.0," The delivery speed is very good. The staff who delivered the product spoke very well. Overall, I am very impressed. …"
204,5.0, Very good. The product arrives very quickly #Love it 😜🥰 …
205,5.0, Receive the goods safely and Fast to deliver Polite staff …
206,5.0, good  
207,5.0, Teenage Mutant Ninja Turtles Delivering items 3 times each I am encouraged …
208,2.0," Slow delivery I do not understand that it is the shop's system slow delivery or delivery. Because the destination province is in the metropolitan area We ordered products on Sunday, but the products were delivered on …"
209,5.0," Fast delivery, economical, very cute.  "
210,5.0, Goods delivered on time  
211,5.0," Received the product. No damage Before coming to the staff, call first But since that day is at a different place Therefore put it in the mailbox in front of the house There aren't any problems. …"
212,5.0, Fast delivery ..  
213,5.0, Delivery very fast The organizing staff speaks politely.  
214,5.0," Good service, very good-natured delivery person, Don Tro Subdistrict, Chalerm Phra Kiat District Nakhon Si Thammarat Province Come to send often until you are close. Impressed with the service …"
215,5.0," Fast delivery, but before coming to send, want to call and tell first …"
216,5.0," Call to inform before arriving, delivery is good, fast.  "
217,5.0," Good service, fast delivery, polite staff, hundreds of parcels arrive in good condition. …"
218,5.0," Nong Bua Lam Phu branch, fast delivery, good, not losing to others, good box condition, delivery staff call before entering the delivery Excellent, please keep this kind of standard continue. …"
219,1.0," Employees should have an understanding of Soi Fang, even numbers, odd numbers. …"
220,3.0," The delivery is fast. But I don't like being alone at all: I'm not at home But he signed as me to pick up the goods, that is, if the item is lost, do I have to follow with myself? Bad habits …"
221,5.0, Fast  
222,1.0, Many broken parcels I don't know why Inaccuracy of the sender 
223,4.0, Transportation OK. Products in good condition. Call before delivery. …
224,4.0," Call for an appointment Some, not some Most of the employees encountered 99.99% are considered very good. …"
225,5.0, There is a polite advance call to help lift things to the place. …
226,5.0," Employees call in advance that the parcel has arrived. Speaking because .... Overall, it is considered good. …"
227,5.0, The staff are polite and polite.  
228,5.0, Very good service in all matters  
229,1.0," Ordered the Ninja Van 2 times. The bad first time was one call, and when we didn't answer, we called back, and he didn't pick up. The next day we called back to pick up. We told you to come in and deliver the goods …"
230,5.0," The staff called in advance that they would deliver the product. Speak politely Overall, I am very satisfied with the delivery of the product. …"
231,5.0, The transportation service is very fast.  
232,1.0, Poor. Hold for 3 days in the company's system. The place of delivery is a residence Poorly unable to contact the recipient. Do not contact. Always wait. …
233,1.0, I can tell one word is very slow.  
234,5.0, The delivery man spoke very well.  
235,1.0," The package was very wrinkled, if it was something that could be broken, it was really bad, not that it was delivered to the recipient's meal only. The delivery must be in perfect condition as well. …"
236,5.0, Never been disappointed with the transportation The product comes in good condition. The staff are also polite. …
237,5.0, The staff are polite. Call for delivery. Soon  
238,5.0, Polite staff can schedule appointments.  
239,1.0," The recipient is not the owner of the package. Checked at home, no one accepted the parcel. …"
240,4.0," Shipping, I am okay, nothing is damaged. I wish to be like this forever. …"
241,4.0,"Fast delivery,May be"
242,1.0," Is confusing. Ordering the number is on the front of the box But the status says The sender has arrived at the residence but cannot contact the receiver. Call is not calling. Also, today is a holiday. Many people at …"
243,5.0," Responsible employees are the very essence of the company. Accidents can happen at any time. Therefore, due to force majeure, it is not possible to blame the employees who were sent late. …"
244,5.0, The product is not damaged. Quite good  
245,5.0, Fast delivery  
246,5.0, Excellent delivery  
247,5.0," Good, call to inform before delivery, good product, staff came to deliver at the specified point. The product is not damaged. May depend on the service area Fast delivery. …"
248,4.0, Good fast  
249,5.0, Fast delivery across the day. Very good service.  
250,5.0, Polite staff. Call ahead. Supporting people making a living ❤️ …
251,5.0, The delivery person spoke good service.  
252,5.0, Good fast service .. Staff speak politely. The staff member called in before telling the package to be delivered every time. …
253,5.0, Good  
254,5.0," Delivery staff polite. Call to notify to pick up the product, even without having to collect products Normally, if there is no collection fee, most will deposit the project law without notifying …"
255,4.0, Please maintain the standards and improve the service even further 😊🤍 …
256,5.0," Okay, no problem.  "
257,5.0, The shipping cost is fast. Good service staff  
258,5.0,"Good service, politely and professional team, all my question was sorted very fast,, lov this company 🥰"
259,5.0, The delivery staff is good. Fast and there is a call to notify first. …
260,5.0, Delivery on time  
261,5.0," Use the service every time because it's fast, cheap, and good service, not inferior to other owners. I've been using the service since the first ninja van was available. Cheering for the team …"
262,3.0, Better than before  
263,5.0, The staff were polite before calling to tell first.  
264,5.0, The staff called to request permission to place the products in front of the house in a safe place. Very good. …
265,4.0, The delivery is good.  
266,5.0," Senders call to notify before sending, considered good  "
267,5.0," Fast delivery Have better development From many months ago, slow delivery of the lost goods but came today when the ninja Improved delivery Please encourage the team and staff. Continue to improve the work …"
268,3.0," Today, the staff are women. Call to inform that a package has been delivered. Therefore told to put it in the bicycle basket Then she pressed the call away Discomfort Just walk into the building in front of the room. …"
269,4.0," When the officer calls to notify to receive the product, it is already in front of the house Always like this If collecting money at the destination, would probably find money to be busy Should call in advance for 3 …"
270,5.0, Polite staff  
271,4.0," Good service, affordable price Call to inform the reception of the staff politely. …"
272,1.0, Transportation is very slow  
273,1.0," Very late delivery Unable to send in time, not calling customer, then delivery status unsuccessful Call back at 8 pm and say that delivered tomorrow. Tomorrow is not true Another day passed to get the item. Must call …"
274,5.0, The thing is that the transport staff spoke well.  
275,5.0," The staff are very friendly, the condition is very perfect. …"
276,1.0,The staff should be trained how to speak politely to the customer 😵😵
277,4.0," Overall, the staff speak good. Good transportation, undamaged products …"
278,5.0, Very good. Transport staff are cute. 😁  
279,4.0," Delivered as per the provincial standards, about 4 days is OK, slightly slower than the others. …"
280,5.0, Package number SHNV323749471 Fast delivery as according to the slogan. …
281,5.0," Good service, good speech, no damage received "
282,5.0," Fast transportation. Staff are very polite. Overall, it is good. Want to keep this quality forever …"
283,5.0," The delivery man spoke politely. Call in advance. We transfer too much money, then he quickly transferred back. …"
284,5.0, who had deliver early last night
285,5.0, Let Grandma take the stuff. But should be good  
286,5.0, Service is polite.  
287,5.0," Good, fast transportation The staff is neat, polite, and lovely. There is a call coming in every time before delivering the package to us. …"
288,1.0, Service is very poor. Contacted outside of business hours and didn't send the product. …
289,5.0, The goods are received as soon as possible. The items are not damaged. …
290,4.0, With the development of better services  
291,5.0," The staff sent a call to inform in advance, politely speaking, sent to The overall summary is OK. …"
292,5.0, The staff speak politely. Delivery is very fast. Thank you very much. …
293,5.0," Good service staff, courteous, service with heart, fast shipping, no damage, thank you. …"
294,5.0," Express delivery, fast  "
295,1.0, Do not call in advance Self-signed by the recipient Sometimes throw things in But personally signed to receive the parcel …
296,5.0, Received the product  
297,5.0, Great service staff Fast delivery service  
298,5.0," Very fast delivery. Call from 8.24 hrs. Normally, other owners will call around 9-10 hrs. …"
299,5.0, Call to notify 1 hour before sending. It will be good not home and then call. 
300,5.0, Delivered quickly. The staff in advance called to speak politely. Very good. …
301,1.0," Previously, the delivery staff would be better. On July 10 at 16.20 hrs, the delivery staff called in a bad tone. The first question asks if urgent use of the item. Can you send it tomorrow Therefore asked to go back …"
302,5.0,Good Job
303,5.0, Send faster than I heard.  
304,5.0, Be polite in both speech and verbs.  
305,5.0, Good service. There is a call to inform before receiving the parcel and before sending the parcel every time. Very good staff. …
306,5.0," Fast delivery, good follow up call all the time while we work outside the delivery area, even after work at 17.30 ... Thank you and impressed with this service ใน …"
307,5.0," Fast delivery, normal service, good frantic, because I have to wait. I get stuck for a quick, short, quick job. One water service …"
308,5.0, Delivery very fast เร็ว  
309,5.0, Courier manners are good. The item is delivered as a 3 small booklet. The condition is not intact. This delivery is OK. …
310,5.0," Fast delivery, polite staff The product is in good condition without damage. If there is a chance to use the service again for sure …"
311,5.0, Fast delivery. The delivery staff are polite and speak good. ^ _ ^ Thank you very much. …
312,5.0," Very kind. Waiting for us when picking money. And we don't have any coins to find again. Finally, the money is missing 1 baht. I said it's okay. Very kind. Will definitely use the service again. …"
313,1.0," Order with shopee 3, ninja duty !! Omyai Branch, Sampran District, Nakhon Pathom Province .... Much reserve, tell now ... The 3rd time, I said I won't order with the ninja. I forgot to look at the same thing as …"
314,5.0, The staff speaks very polite. Service is very good.  
315,5.0," The goods are in good condition, fast delivery, OK staff  "
316,5.0," Good service, courteous delivery staff.  "
